State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
CA	LOS ANGELES	PANORAMA CITY	 medium 	" 66,241 "	" 6,037 "	" 37,286 "	 -   	" 17,770 "	 12 	 7 	 11 	 5 	 5 	 40 	" 18,217 "	" 730,140 "								
CT	HARTFORD	NEW BRITAIN	 medium 	" 71,546 "	" 6,256 "	" 50,618 "	 217 	" 17,155 "	 12 	 11 	 7 	 5 	 5 	 40 	" 31,168 "	" 1,249,328 "								
NJ	ESSEX	IRVINGTON	 medium 	" 60,727 "	" 7,474 "	" 62,899 "	 181 	" 12,273 "	 9 	 13 	 8 	 5 	 5 	 40 	" 24,123 "	" 968,888 "								
MA	WORCESTER	WORCESTER	 medium 	" 173,950 "	" 6,580 "	" 52,478 "	 185 	" 17,021 "	 12 	 11 	 7 	 5 	 5 	 40 	" 70,781 "	" 2,844,850 "								
TX	JEFFERSON	PORT ARTHUR	 medium 	" 56,966 "	" 11,885 "	" 32,095 "	 0 	" 18,163 "	 12 	 12 	 8 	 4 	 4 	 40 	" 24,329 "	" 978,317 "								
CA	SAN DIEGO	LA MESA	 medium 	" 68,651 "	" 6,309 "	" 32,150 "	 1 	" 21,162 "	 15 	 7 	 7 	 5 	 6 	 40 	" 30,404 "	" 1,222,708 "								
FL	LEE	FORT MYERS	 medium 	" 177,631 "	" 10,638 "	" 13,275 "	 1 	" 17,523 "	 12 	 10 	 7 	 5 	 6 	 40 	" 92,211 "	" 3,718,845 "								
NY	QUEENS	OZONE PARK	 medium 	" 52,275 "	" 7,264 "	" 57,772 "	 134 	" 12,683 "	 9 	 11 	 9 	 5 	 6 	 40 	" 17,552 "	" 708,411 "								
CA	SAN BERNARDINO	SAN BERNARDINO	 medium 	" 209,210 "	" 7,020 "	" 49,590 "	 0 	" 18,836 "	 13 	 9 	 10 	 5 	 5 	 40 	" 70,392 "	" 2,847,895 "								
PA	CENTRE	STATE COLLEGE	 medium 	" 59,820 "	" 7,702 "	" 34,935 "	 130 	" 15,961 "	 11 	 13 	 7 	 4 	 5 	 40 	" 25,059 "	" 1,014,836 "								
CT	FAIRFIELD	BRIDGEPORT	 medium 	" 139,505 "	" 6,522 "	" 48,060 "	 257 	" 15,710 "	 11 	 12 	 8 	 5 	 5 	 41 	" 54,358 "	" 2,204,357 "								
CA	CONTRA COSTA	RICHMOND	 medium 	" 81,490 "	" 6,079 "	" 46,554 "	 0 	" 18,760 "	 13 	 8 	 9 	 5 	 6 	 41 	" 29,533 "	" 1,197,692 "								
FL	CHARLOTTE	PUNTA GORDA	 medium 	" 54,918 "	" 11,019 "	" 13,235 "	 2 	" 18,680 "	 13 	 11 	 6 	 5 	 5 	 41 	" 32,100 "	" 1,303,544 "								
CT	NEW HAVEN	WATERBURY	 medium 	" 107,248 "	" 5,954 "	" 40,043 "	 302 	" 17,167 "	 12 	 11 	 7 	 5 	 5 	 41 	" 46,814 "	" 1,901,154 "								
AZ	PINAL	APACHE JUNCTION	 medium 	" 56,772 "	" 9,630 "	" 22,754 "	 2 	" 18,902 "	 13 	 10 	 7 	 5 	 5 	 41 	" 38,334 "	" 1,557,789 "								
CA	LOS ANGELES	BELLFLOWER	 medium 	" 72,878 "	" 6,376 "	" 31,384 "	 -   	" 20,004 "	 14 	 7 	 9 	 5 	 6 	 41 	" 24,247 "	" 986,043 "								
CA	LOS ANGELES	BURBANK	 medium 	" 103,233 "	" 6,560 "	" 32,800 "	 0 	" 20,167 "	 14 	 7 	 7 	 6 	 6 	 41 	" 43,961 "	" 1,788,356 "								
CA	SHASTA	REDDING	 medium 	" 103,381 "	" 6,737 "	" 41,669 "	 5 	" 22,373 "	 15 	 8 	 7 	 5 	 5 	 41 	" 42,821 "	" 1,742,272 "								
VA	NORFOLK CITY	NORFOLK	 medium 	" 238,337 "	" 10,881 "	" 40,530 "	 74 	" 16,462 "	 11 	 13 	 7 	 4 	 5 	 41 	" 94,923 "	" 3,869,206 "								
OR	LANE	EUGENE	 medium 	" 174,147 "	" 9,272 "	" 28,012 "	 12 	" 20,815 "	 14 	 9 	 7 	 5 	 5 	 41 	" 76,102 "	" 3,103,340 "								
NJ	HUDSON	NORTH BERGEN	 medium 	" 58,108 "	" 7,601 "	" 56,902 "	 126 	" 13,831 "	 10 	 12 	 8 	 5 	 6 	 41 	" 22,017 "	" 897,870 "								
NJ	PASSAIC	PASSAIC	 medium 	" 67,869 "	" 7,395 "	" 61,991 "	 110 	" 12,247 "	 9 	 12 	 10 	 5 	 5 	 41 	" 20,195 "	" 823,581 "								
WA	PIERCE	LAKEWOOD	 medium 	" 64,647 "	" 9,566 "	" 34,241 "	 16 	" 19,645 "	 14 	 10 	 7 	 5 	 5 	 41 	" 27,317 "	" 1,114,447 "								
FL	MANATEE	BRADENTON	 medium 	" 183,597 "	" 10,779 "	" 14,119 "	 5 	" 18,058 "	 13 	 11 	 7 	 5 	 5 	 41 	" 93,342 "	" 3,808,905 "								
FL	ORANGE	WINTER PARK	 medium 	" 74,547 "	" 9,866 "	" 13,816 "	 28 	" 18,422 "	 13 	 10 	 7 	 5 	 6 	 41 	" 34,268 "	" 1,402,847 "								
CA	LOS ANGELES	PASADENA	 medium 	" 149,475 "	" 6,795 "	" 34,979 "	 0 	" 19,624 "	 14 	 7 	 8 	 6 	 6 	 41 	" 60,009 "	" 2,459,212 "								
CA	YOLO	DAVIS	 medium 	" 68,050 "	" 6,682 "	" 39,594 "	 0 	" 20,964 "	 15 	 8 	 7 	 5 	 6 	 41 	" 25,650 "	" 1,052,294 "								
NJ	UNION	ELIZABETH	 medium 	" 120,627 "	" 7,663 "	" 63,408 "	 120 	" 14,303 "	 10 	 12 	 9 	 5 	 5 	 41 	" 42,860 "	" 1,758,579 "								
FL	VOLUSIA	DELAND	 medium 	" 52,478 "	" 10,453 "	" 15,069 "	 22 	" 19,891 "	 14 	 11 	 7 	 5 	 5 	 41 	" 22,864 "	" 939,915 "								
NJ	HUDSON	BAYONNE	 medium 	" 61,842 "	" 7,482 "	" 60,614 "	 193 	" 13,767 "	 10 	 13 	 7 	 5 	 6 	 41 	" 26,826 "	" 1,104,008 "								
MO	SAINT LOUIS CITY	SAINT LOUIS	 medium 	" 337,173 "	" 10,666 "	" 57,279 "	 4 	" 12,616 "	 9 	 17 	 7 	 4 	 4 	 41 	" 446,095 "	" 18,359,816 "								
FL	POLK	WINTER HAVEN	 medium 	" 82,019 "	" 11,412 "	" 15,076 "	 10 	" 18,326 "	 13 	 11 	 7 	 5 	 5 	 41 	" 39,590 "	" 1,629,490 "								
VA	CHARLOTTESVILLE CITY	CHARLOTTESVILLE	 medium 	" 56,134 "	" 10,159 "	" 37,710 "	 49 	" 18,877 "	 13 	 12 	 7 	 5 	 5 	 41 	" 40,934 "	" 1,684,882 "								
FL	SEMINOLE	ALTAMONTE SPRINGS	 medium 	" 57,352 "	" 9,726 "	" 13,510 "	 12 	" 18,893 "	 13 	 10 	 7 	 5 	 6 	 41 	" 26,137 "	" 1,076,141 "								
MA	MIDDLESEX	SOMERVILLE	 medium 	" 77,040 "	" 6,394 "	" 52,508 "	 209 	" 15,191 "	 11 	 11 	 7 	 5 	 6 	 41 	" 32,418 "	" 1,335,495 "								
MA	HAMPDEN	CHICOPEE	 medium 	" 54,653 "	" 6,270 "	" 44,288 "	 277 	" 18,594 "	 13 	 12 	 7 	 5 	 5 	 41 	" 24,424 "	" 1,006,946 "								
HI	HONOLULU	HONOLULU	 medium 	" 387,306 "	" 5,426 "	" 22,644 "	 0 	" 16,914 "	 12 	 9 	 8 	 6 	 6 	 41 	" 163,435 "	" 6,741,334 "								
TX	COLLIN	DALLAS	 medium 	" 67,747 "	" 8,408 "	" 20,751 "	 -   	" 20,121 "	 15 	 9 	 6 	 5 	 6 	 41 	" 511,077 "	" 21,107,695 "								
FL	MARION	OCALA	 medium 	" 158,065 "	" 11,322 "	" 16,405 "	 13 	" 19,349 "	 13 	 11 	 7 	 5 	 5 	 41 	" 71,436 "	" 2,952,642 "								
FL	CHARLOTTE	PORT CHARLOTTE	 medium 	" 63,295 "	" 11,728 "	" 13,879 "	 1 	" 19,043 "	 13 	 11 	 7 	 5 	 5 	 41 	" 31,766 "	" 1,313,179 "								
CA	SACRAMENTO	CARMICHAEL	 medium 	" 58,819 "	" 6,753 "	" 41,470 "	 0 	" 21,198 "	 15 	 8 	 7 	 5 	 6 	 41 	" 25,702 "	" 1,062,934 "								
AZ	YUMA	YUMA	 medium 	" 125,387 "	" 10,965 "	" 24,069 "	 1 	" 17,543 "	 12 	 11 	 8 	 5 	 5 	 41 	" 63,788 "	" 2,639,397 "								
FL	OKALOOSA	FORT WALTON BEACH	 medium 	" 50,678 "	" 10,415 "	" 17,996 "	 0 	" 18,141 "	 13 	 12 	 7 	 5 	 5 	 41 	" 25,338 "	" 1,049,157 "								
NJ	PASSAIC	PATERSON	 medium 	" 149,237 "	" 7,860 "	" 67,507 "	 92 	" 13,529 "	 9 	 12 	 10 	 5 	 5 	 41 	" 47,175 "	" 1,953,536 "								
CA	MERCED	MERCED	 medium 	" 82,378 "	" 6,182 "	" 48,228 "	 1 	" 21,107 "	 14 	 8 	 9 	 5 	 5 	 41 	" 27,605 "	" 1,145,234 "								
FL	PALM BEACH	LAKE WORTH	 medium 	" 175,939 "	" 10,939 "	" 14,084 "	 2 	" 18,170 "	 13 	 11 	 8 	 5 	 6 	 41 	" 79,010 "	" 3,278,564 "								
CA	LOS ANGELES	BELL	 medium 	" 105,275 "	" 6,225 "	" 29,737 "	 -   	" 18,412 "	 12 	 7 	 13 	 5 	 5 	 42 	" 24,633 "	" 1,022,332 "								
OR	BENTON	CORVALLIS	 medium 	" 59,812 "	" 9,700 "	" 35,154 "	 9 	" 21,208 "	 15 	 10 	 7 	 5 	 5 	 42 	" 25,129 "	" 1,044,626 "								
CA	LOS ANGELES	MONTEREY PARK	 medium 	" 60,188 "	" 6,531 "	" 33,011 "	 -   	" 20,759 "	 14 	 7 	 9 	 5 	 6 	 42 	" 20,258 "	" 842,250 "								
SC	CHARLESTON	CHARLESTON	 medium 	" 163,264 "	" 11,785 "	" 32,703 "	 6 	" 18,582 "	 13 	 12 	 7 	 5 	 5 	 42 	" 74,932 "	" 3,120,369 "								
FL	PALM BEACH	BOYNTON BEACH	 medium 	" 120,883 "	" 11,540 "	" 13,395 "	 3 	" 17,771 "	 13 	 11 	 7 	 5 	 6 	 42 	" 63,902 "	" 2,663,086 "								
FL	HERNANDO	SPRING HILL	 medium 	" 82,570 "	" 11,355 "	" 14,592 "	 2 	" 20,228 "	 14 	 11 	 7 	 5 	 5 	 42 	" 42,593 "	" 1,777,342 "								
CA	LOS ANGELES	MONTEBELLO	 medium 	" 62,416 "	" 6,721 "	" 32,789 "	 -   	" 20,550 "	 14 	 7 	 10 	 5 	 6 	 42 	" 19,500 "	" 814,531 "								
GA	CLARKE	ATHENS	 medium 	" 100,715 "	" 10,534 "	" 32,721 "	 4 	" 19,810 "	 13 	 13 	 7 	 4 	 5 	 42 	" 42,161 "	" 1,764,062 "								
ME	CUMBERLAND	PORTLAND	 medium 	" 63,237 "	" 5,654 "	" 35,237 "	 512 	" 16,917 "	 12 	 14 	 6 	 5 	 5 	 42 	" 30,643 "	" 1,282,720 "								
PA	CAMBRIA	JOHNSTOWN	 medium 	" 77,260 "	" 9,669 "	" 66,452 "	 119 	" 17,650 "	 12 	 14 	 7 	 4 	 5 	 42 	" 35,829 "	" 1,500,470 "								
TX	MCLENNAN	WACO	 medium 	" 136,920 "	" 11,045 "	" 31,312 "	 0 	" 20,153 "	 13 	 12 	 8 	 4 	 4 	 42 	" 56,196 "	" 2,355,210 "								
PA	LYCOMING	WILLIAMSPORT	 medium 	" 57,295 "	" 8,769 "	" 48,649 "	 281 	" 16,708 "	 12 	 14 	 7 	 4 	 5 	 42 	" 25,214 "	" 1,057,162 "								
NY	NIAGARA	LOCKPORT	 medium 	" 51,376 "	" 7,961 "	" 61,893 "	 78 	" 19,640 "	 14 	 10 	 7 	 5 	 6 	 42 	" 21,925 "	" 920,619 "								
FL	BAY	PANAMA CITY	 medium 	" 108,156 "	" 10,363 "	" 17,377 "	 5 	" 19,309 "	 13 	 12 	 7 	 5 	 5 	 42 	" 52,987 "	" 2,226,101 "								
MA	MIDDLESEX	LOWELL	 medium 	" 105,167 "	" 6,842 "	" 61,941 "	 110 	" 18,061 "	 13 	 11 	 8 	 5 	 6 	 42 	" 39,468 "	" 1,660,014 "								
FL	SARASOTA	SARASOTA	 medium 	" 198,950 "	" 10,948 "	" 13,840 "	 9 	" 18,745 "	 13 	 11 	 7 	 5 	 6 	 42 	" 116,151 "	" 4,887,311 "								
TX	BRAZOS	COLLEGE STATION	 medium 	" 75,997 "	" 10,492 "	" 23,874 "	 0 	" 22,083 "	 15 	 11 	 7 	 4 	 5 	 42 	" 29,125 "	" 1,226,107 "								
FL	SEMINOLE	SANFORD	 medium 	" 54,211 "	" 10,680 "	" 15,579 "	 24 	" 19,614 "	 13 	 11 	 8 	 5 	 5 	 42 	" 21,959 "	" 924,572 "								
FL	ESCAMBIA	PENSACOLA	 medium 	" 253,301 "	" 11,121 "	" 19,958 "	 1 	" 18,267 "	 13 	 12 	 7 	 5 	 5 	 42 	" 107,668 "	" 4,534,696 "								
CA	ALAMEDA	ALAMEDA	 medium 	" 72,515 "	" 5,667 "	" 37,704 "	 1 	" 19,454 "	 14 	 7 	 7 	 6 	 7 	 42 	" 31,755 "	" 1,337,848 "								
FL	INDIAN RIVER	VERO BEACH	 medium 	" 87,514 "	" 10,588 "	" 13,631 "	 6 	" 18,968 "	 14 	 11 	 7 	 5 	 6 	 42 	" 46,507 "	" 1,959,716 "								
CA	ORANGE	COSTA MESA	 medium 	" 110,266 "	" 6,547 "	" 30,766 "	 -   	" 20,537 "	 15 	 7 	 8 	 6 	 7 	 42 	" 41,017 "	" 1,729,466 "								
CA	TULARE	PORTERVILLE	 medium 	" 65,552 "	" 8,139 "	" 40,635 "	 1 	" 21,644 "	 14 	 9 	 10 	 5 	 5 	 42 	" 20,979 "	" 885,220 "								
FL	VOLUSIA	ORMOND BEACH	 medium 	" 56,351 "	" 10,384 "	" 14,629 "	 45 	" 19,645 "	 14 	 11 	 7 	 5 	 6 	 42 	" 28,653 "	" 1,209,052 "								
FL	SAINT JOHNS	SAINT AUGUSTINE	 medium 	" 71,339 "	" 10,264 "	" 14,925 "	 21 	" 19,968 "	 14 	 11 	 7 	 5 	 6 	 42 	" 35,955 "	" 1,517,789 "								
CA	SACRAMENTO	RANCHO CORDOVA	 medium 	" 50,007 "	" 6,990 "	" 42,536 "	 -   	" 20,666 "	 15 	 8 	 8 	 5 	 6 	 42 	" 19,698 "	" 831,639 "								
NJ	OCEAN	LAKEWOOD	 medium 	" 60,392 "	" 8,527 "	" 49,551 "	 115 	" 16,592 "	 12 	 12 	 9 	 5 	 5 	 42 	" 21,227 "	" 896,939 "								
FL	BREVARD	MELBOURNE	 medium 	" 114,203 "	" 11,532 "	" 16,201 "	 10 	" 19,196 "	 13 	 12 	 7 	 5 	 6 	 42 	" 53,411 "	" 2,257,185 "								
CA	SAN BERNARDINO	COLTON	 medium 	" 52,198 "	" 6,730 "	" 46,963 "	 0 	" 20,690 "	 14 	 8 	 10 	 5 	 5 	 42 	" 17,338 "	" 732,740 "								
WA	WHATCOM	BELLINGHAM	 medium 	" 98,879 "	" 10,657 "	" 40,006 "	 13 	" 21,050 "	 14 	 11 	 7 	 5 	 5 	 42 	" 42,454 "	" 1,798,245 "								
SC	GREENVILLE	GREENVILLE	 medium 	" 184,223 "	" 10,776 "	" 36,204 "	 77 	" 19,137 "	 13 	 12 	 7 	 5 	 5 	 42 	" 83,360 "	" 3,532,289 "								
LA	OUACHITA	MONROE	 medium 	" 86,476 "	" 13,033 "	" 33,063 "	 0 	" 19,654 "	 13 	 12 	 8 	 4 	 5 	 42 	" 34,677 "	" 1,471,439 "								
CA	SAN JOAQUIN	STOCKTON	 medium 	" 308,827 "	" 7,153 "	" 40,319 "	 1 	" 21,718 "	 15 	 8 	 9 	 5 	 5 	 42 	" 103,459 "	" 4,390,781 "								
NC	WAYNE	GOLDSBORO	 medium 	" 71,373 "	" 10,777 "	" 30,187 "	 41 	" 19,843 "	 14 	 11 	 7 	 5 	 5 	 42 	" 29,857 "	" 1,267,484 "								
MA	MIDDLESEX	MALDEN	 medium 	" 56,340 "	" 6,191 "	" 45,895 "	 290 	" 16,601 "	 12 	 12 	 7 	 5 	 6 	 42 	" 23,634 "	" 1,003,660 "								
CA	SANTA CRUZ	SANTA CRUZ	 medium 	" 92,697 "	" 5,831 "	" 38,017 "	 2 	" 21,831 "	 15 	 7 	 7 	 6 	 7 	 42 	" 37,793 "	" 1,605,482 "								
NC	ONSLOW	JACKSONVILLE	 medium 	" 76,646 "	" 10,686 "	" 24,813 "	 31 	" 19,985 "	 14 	 11 	 8 	 5 	 5 	 42 	" 29,702 "	" 1,261,855 "								
FL	LEON	TALLAHASSEE	 medium 	" 239,849 "	" 9,916 "	" 16,839 "	 16 	" 20,427 "	 14 	 11 	 7 	 5 	 6 	 42 	" 104,136 "	" 4,425,567 "								
OR	LANE	SPRINGFIELD	 medium 	" 67,890 "	" 9,496 "	" 25,344 "	 6 	" 23,315 "	 16 	 9 	 8 	 5 	 5 	 43 	" 27,579 "	" 1,172,703 "								
PA	BLAIR	ALTOONA	 medium 	" 65,568 "	" 10,212 "	" 75,161 "	 72 	" 17,659 "	 12 	 14 	 7 	 4 	 5 	 43 	" 28,412 "	" 1,208,559 "								
FL	PALM BEACH	WEST PALM BEACH	 medium 	" 322,940 "	" 11,568 "	" 14,019 "	 2 	" 18,411 "	 13 	 11 	 8 	 5 	 6 	 43 	" 148,365 "	" 6,311,010 "								
CA	SACRAMENTO	CITRUS HEIGHTS	 medium 	" 85,345 "	" 6,862 "	" 40,528 "	 -   	" 22,598 "	 16 	 8 	 8 	 5 	 6 	 43 	" 34,952 "	" 1,487,371 "								
MA	NORFOLK	QUINCY	 medium 	" 88,025 "	" 6,071 "	" 38,816 "	 318 	" 17,435 "	 13 	 12 	 7 	 5 	 6 	 43 	" 40,093 "	" 1,707,366 "								
TX	HAYS	SAN MARCOS	 medium 	" 51,452 "	" 9,617 "	" 23,094 "	 1 	" 22,792 "	 15 	 10 	 8 	 4 	 5 	 43 	" 18,659 "	" 795,138 "								
CA	SAN JOAQUIN	LODI	 medium 	" 67,818 "	" 7,409 "	" 39,728 "	 2 	" 22,742 "	 16 	 8 	 8 	 5 	 6 	 43 	" 25,268 "	" 1,077,291 "								
NC	WILSON	WILSON	 medium 	" 55,106 "	" 11,424 "	" 38,066 "	 36 	" 19,375 "	 13 	 12 	 7 	 5 	 5 	 43 	" 22,959 "	" 979,264 "								
CA	LOS ANGELES	RESEDA	 medium 	" 68,002 "	" 7,093 "	" 43,829 "	 0 	" 20,955 "	 14 	 8 	 9 	 5 	 6 	 43 	" 22,811 "	" 973,494 "								
OH	CUYAHOGA	LAKEWOOD	 medium 	" 56,710 "	" 9,255 "	" 64,520 "	 1 	" 15,278 "	 11 	 15 	 6 	 5 	 6 	 43 	" 28,462 "	" 1,214,869 "								
UT	WASHINGTON	SAINT GEORGE	 medium 	" 51,535 "	" 10,327 "	" 35,160 "	 2 	" 20,418 "	 14 	 10 	 9 	 5 	 5 	 43 	" 21,629 "	" 923,299 "								
CA	LOS ANGELES	CANOGA PARK	 medium 	" 72,734 "	" 7,285 "	" 35,524 "	 0 	" 21,081 "	 15 	 8 	 9 	 5 	 6 	 43 	" 24,738 "	" 1,056,076 "								
MA	ESSEX	LYNN	 medium 	" 88,992 "	" 6,321 "	" 45,982 "	 322 	" 17,509 "	 12 	 12 	 8 	 5 	 5 	 43 	" 34,616 "	" 1,477,821 "								
CA	LOS ANGELES	PARAMOUNT	 medium 	" 55,305 "	" 6,200 "	" 30,428 "	 -   	" 20,184 "	 13 	 7 	 12 	 5 	 5 	 43 	" 14,605 "	" 624,088 "								
CA	SAN DIEGO	OCEANSIDE	 medium 	" 198,001 "	" 6,955 "	" 33,911 "	 0 	" 21,801 "	 15 	 8 	 9 	 5 	 6 	 43 	" 66,290 "	" 2,834,168 "								
OR	JOSEPHINE	GRANTS PASS	 medium 	" 61,239 "	" 10,372 "	" 30,719 "	 22 	" 24,225 "	 16 	 10 	 7 	 4 	 5 	 43 	" 26,497 "	" 1,133,389 "								
CA	ALAMEDA	SAN LEANDRO	 medium 	" 98,234 "	" 5,972 "	" 39,513 "	 0 	" 21,654 "	 15 	 8 	 8 	 6 	 6 	 43 	" 37,943 "	" 1,623,766 "								
TX	NACOGDOCHES	NACOGDOCHES	 medium 	" 50,742 "	" 10,720 "	" 26,839 "	 0 	" 22,589 "	 15 	 12 	 7 	 4 	 5 	 43 	" 20,937 "	" 896,826 "								
CA	SAN DIEGO	EL CAJON	 medium 	" 158,115 "	" 6,734 "	" 32,489 "	 1 	" 23,249 "	 16 	 7 	 8 	 5 	 6 	 43 	" 58,053 "	" 2,489,158 "								
MS	HINDS	JACKSON	 medium 	" 195,427 "	" 13,199 "	" 37,873 "	 1 	" 18,925 "	 13 	 13 	 8 	 5 	 5 	 43 	" 80,342 "	" 3,447,176 "								
CA	LOS ANGELES	COMPTON	 medium 	" 128,508 "	" 6,943 "	" 35,114 "	 0 	" 19,446 "	 13 	 7 	 13 	 5 	 5 	 43 	" 32,586 "	" 1,399,369 "								
FL	BREVARD	TITUSVILLE	 medium 	" 51,451 "	" 11,568 "	" 16,992 "	 11 	" 20,318 "	 14 	 12 	 7 	 5 	 5 	 43 	" 24,226 "	" 1,040,759 "								
NC	NEW HANOVER	WILMINGTON	 medium 	" 144,319 "	" 11,063 "	" 27,239 "	 28 	" 20,015 "	 14 	 11 	 7 	 5 	 6 	 43 	" 67,678 "	" 2,911,643 "								
OR	JACKSON	MEDFORD	 medium 	" 77,926 "	" 10,566 "	" 42,945 "	 10 	" 21,481 "	 15 	 11 	 7 	 5 	 5 	 43 	" 32,504 "	" 1,398,964 "								
CA	KINGS	HANFORD	 medium 	" 53,201 "	" 8,141 "	" 41,889 "	 0 	" 22,410 "	 15 	 9 	 9 	 5 	 5 	 43 	" 18,719 "	" 805,985 "								
CA	STANISLAUS	TURLOCK	 medium 	" 65,232 "	" 7,527 "	" 38,354 "	 0 	" 22,939 "	 16 	 8 	 9 	 5 	 6 	 43 	" 22,263 "	" 959,100 "								
PA	LEHIGH	ALLENTOWN	 medium 	" 152,315 "	" 8,710 "	" 39,244 "	 252 	" 17,157 "	 12 	 13 	 7 	 5 	 5 	 43 	" 63,978 "	" 2,756,245 "								
NY	QUEENS	FRESH MEADOWS	 medium 	" 54,932 "	" 6,684 "	" 43,008 "	 262 	" 15,101 "	 11 	 11 	 8 	 6 	 7 	 43 	" 20,931 "	" 902,613 "								
NM	CHAVES	ROSWELL	 medium 	" 53,113 "	" 9,731 "	" 38,567 "	 0 	" 21,900 "	 15 	 12 	 8 	 4 	 5 	 43 	" 22,668 "	" 977,969 "								
NY	ORANGE	NEWBURGH	 medium 	" 52,084 "	" 6,690 "	" 44,871 "	 280 	" 17,463 "	 12 	 11 	 9 	 5 	 6 	 43 	" 19,316 "	" 833,421 "								
NY	SCHENECTADY	SCHENECTADY	 medium 	" 156,661 "	" 7,794 "	" 70,789 "	 91 	" 19,385 "	 14 	 11 	 7 	 5 	 6 	 43 	" 68,148 "	" 2,940,620 "								
SC	RICHLAND	COLUMBIA	 medium 	" 257,932 "	" 11,995 "	" 36,573 "	 5 	" 19,447 "	 14 	 12 	 7 	 5 	 5 	 43 	" 120,058 "	" 5,180,715 "								
NC	CRAVEN	NEW BERN	 medium 	" 53,537 "	" 11,193 "	" 27,606 "	 47 	" 20,513 "	 14 	 12 	 7 	 5 	 5 	 43 	" 24,593 "	" 1,061,543 "								
SC	SPARTANBURG	SPARTANBURG	 medium 	" 108,715 "	" 11,072 "	" 34,985 "	 73 	" 20,077 "	 14 	 12 	 7 	 5 	 5 	 43 	" 47,139 "	" 2,035,575 "								
TX	JEFFERSON	BEAUMONT	 medium 	" 138,352 "	" 12,035 "	" 30,115 "	 0 	" 20,804 "	 14 	 12 	 8 	 5 	 5 	 43 	" 54,106 "	" 2,337,565 "								
CA	LOS ANGELES	SAN GABRIEL	 medium 	" 61,458 "	" 6,948 "	" 33,994 "	 -   	" 21,670 "	 15 	 7 	 9 	 6 	 6 	 43 	" 20,517 "	" 886,636 "								
MT	MISSOULA	MISSOULA	 medium 	" 79,242 "	" 8,509 "	" 60,117 "	 4 	" 23,296 "	 16 	 11 	 7 	 5 	 5 	 43 	" 33,654 "	" 1,455,132 "								
AL	TUSCALOOSA	TUSCALOOSA	 medium 	" 98,675 "	" 12,434 "	" 31,855 "	 0 	" 19,294 "	 13 	 14 	 7 	 4 	 5 	 43 	" 43,665 "	" 1,889,123 "								
CA	KERN	BAKERSFIELD	 medium 	" 395,702 "	" 8,534 "	" 41,902 "	 0 	" 22,103 "	 15 	 9 	 9 	 5 	 5 	 43 	" 139,168 "	" 6,023,455 "								
PA	ERIE	ERIE	 medium 	" 186,871 "	" 11,001 "	" 75,128 "	 5 	" 17,604 "	 12 	 14 	 7 	 5 	 5 	 43 	" 79,312 "	" 3,433,976 "								
TX	WALKER	HUNTSVILLE	 medium 	" 56,839 "	" 10,493 "	" 25,052 "	 1 	" 22,922 "	 15 	 11 	 7 	 4 	 5 	 43 	" 19,658 "	" 851,788 "								
NC	FORSYTH	WINSTON SALEM	 medium 	" 219,800 "	" 10,141 "	" 33,991 "	 143 	" 19,050 "	 13 	 13 	 7 	 5 	 5 	 43 	" 97,541 "	" 4,230,367 "								
CA	LOS ANGELES	TORRANCE	 medium 	" 166,224 "	" 6,364 "	" 31,806 "	 0 	" 22,080 "	 16 	 7 	 8 	 6 	 7 	 43 	" 63,379 "	" 2,748,835 "								
CA	SAN DIEGO	CHULA VISTA	 medium 	" 169,884 "	" 7,056 "	" 32,667 "	 0 	" 22,148 "	 15 	 8 	 9 	 6 	 6 	 43 	" 58,270 "	" 2,528,672 "								
SC	GREENWOOD	GREENWOOD	 medium 	" 51,070 "	" 11,221 "	" 40,182 "	 18 	" 20,809 "	 14 	 12 	 7 	 5 	 5 	 43 	" 21,476 "	" 932,527 "								
CA	LOS ANGELES	EL MONTE	 medium 	" 92,865 "	" 6,931 "	" 32,460 "	 0 	" 20,655 "	 14 	 7 	 13 	 5 	 5 	 43 	" 22,655 "	" 985,345 "								
VA	ALEXANDRIA CITY	ALEXANDRIA	 medium 	" 123,274 "	" 9,513 "	" 40,566 "	 28 	" 17,543 "	 13 	 11 	 6 	 6 	 7 	 44 	" 130,802 "	" 5,693,129 "								
FL	POLK	LAKELAND	 medium 	" 201,638 "	" 11,484 "	" 14,920 "	 8 	" 20,438 "	 14 	 11 	 8 	 5 	 6 	 44 	" 90,455 "	" 3,937,038 "								
CA	LOS ANGELES	SOUTH GATE	 medium 	" 96,260 "	" 6,411 "	" 31,097 "	 0 	" 20,699 "	 14 	 7 	 12 	 5 	 5 	 44 	" 24,236 "	" 1,055,046 "								
VA	NEWPORT NEWS CITY	NEWPORT NEWS	 medium 	" 178,026 "	" 11,366 "	" 38,247 "	 44 	" 19,679 "	 14 	 12 	 7 	 5 	 5 	 44 	" 74,746 "	" 3,254,246 "								
